epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.973,1.23873,3.47343,1.39916,0.00953,0.97993,0.1616,0.09455,1.30951,3.55342,1.25909,0.000296413,0.000296413,0.000296413
2,435.614,1.17794,2.66602,1.32576,0.26757,0.48606,0.16542,0.09559,1.30519,2.88025,1.23324,0.000589523,0.000589523,0.000589523
3,651.198,1.17053,2.48973,1.28914,0.11467,0.61278,0.2145,0.1218,1.41193,4.17876,1.40406,0.000872633,0.000872633,0.000872633
4,863.832,1.15698,2.39285,1.2589,0.12015,0.45701,0.23693,0.12693,1.4447,2.86854,1.43443,0.000864004,0.000864004,0.000864004
5,1073.98,1.16658,2.26803,1.2483,0.17591,0.54593,0.33152,0.19959,1.47556,2.49629,1.41685,0.000849006,0.000849006,0.000849006
6,1282.26,1.14335,2.16482,1.22608,0.14902,0.71257,0.30696,0.18275,1.40794,2.46191,1.381,0.000834007,0.000834007,0.000834007
7,1491.77,1.10548,2.03018,1.20991,0.1701,0.55917,0.27758,0.17796,1.33655,2.34861,1.23804,0.000819009,0.000819009,0.000819009
8,1701.97,1.09124,1.93611,1.17943,0.14518,0.67161,0.3198,0.18196,1.42639,2.26396,1.33416,0.00080401,0.00080401,0.00080401
9,1911.76,1.10339,1.88079,1.19006,0.16865,0.72601,0.25965,0.15853,1.37131,2.31697,1.30768,0.000789012,0.000789012,0.000789012
10,2122.83,1.10944,1.83479,1.17458,0.18262,0.65667,0.27493,0.17262,1.30649,2.18892,1.27333,0.000774013,0.000774013,0.000774013
11,2331.58,1.06793,1.78051,1.16456,0.29773,0.69799,0.43774,0.28216,1.3331,1.84367,1.24201,0.000759015,0.000759015,0.000759015
12,2539.24,1.06291,1.71322,1.1483,0.29161,0.68077,0.39473,0.24791,1.43507,1.7647,1.28696,0.000744016,0.000744016,0.000744016
13,2748.33,1.06219,1.67194,1.15037,0.21191,0.56778,0.32007,0.21522,1.26249,2.01923,1.2091,0.000729018,0.000729018,0.000729018
14,2958.34,1.09645,1.6453,1.16949,0.19868,0.6048,0.3098,0.19075,1.3245,2.21072,1.22908,0.000714019,0.000714019,0.000714019
15,3171.03,1.01957,1.55535,1.12904,0.20734,0.70705,0.38289,0.24199,1.42878,1.75316,1.3411,0.000699021,0.000699021,0.000699021
16,3379.98,1.01889,1.5281,1.1042,0.3114,0.49202,0.3687,0.21914,1.39333,1.72858,1.28655,0.000684022,0.000684022,0.000684022
17,3590.46,0.99564,1.54823,1.13345,0.21202,0.78508,0.3908,0.24313,1.39997,1.66589,1.3185,0.000669024,0.000669024,0.000669024
18,3803.3,0.97851,1.49433,1.10872,0.29086,0.58569,0.387,0.2371,1.47913,1.7775,1.37414,0.000654025,0.000654025,0.000654025
19,4013.62,0.98434,1.44957,1.11182,0.17016,0.69531,0.32599,0.19983,1.45982,1.75371,1.31503,0.000639027,0.000639027,0.000639027
20,4225.57,1.00191,1.43994,1.10847,0.25583,0.75648,0.3184,0.18816,1.41803,1.6427,1.28068,0.000624028,0.000624028,0.000624028
21,4438.5,0.98645,1.4169,1.1008,0.20874,0.63876,0.31792,0.20238,1.33473,1.91647,1.25622,0.00060903,0.00060903,0.00060903
22,4649.26,0.95929,1.41406,1.10192,0.30274,0.62748,0.41396,0.27216,1.34636,1.62453,1.24547,0.000594031,0.000594031,0.000594031
23,4858.72,0.96365,1.38027,1.08678,0.2554,0.67833,0.30346,0.19099,1.32062,1.64718,1.21932,0.000579033,0.000579033,0.000579033
24,5069.45,0.92995,1.36218,1.0782,0.24698,0.60823,0.36093,0.23869,1.31095,1.55994,1.20417,0.000564034,0.000564034,0.000564034
25,5278.94,0.95256,1.32183,1.09361,0.23642,0.6563,0.37679,0.24129,1.28527,1.94292,1.21794,0.000549036,0.000549036,0.000549036
26,5490.22,0.92302,1.30487,1.06726,0.26099,0.6292,0.326,0.21267,1.30515,1.5718,1.23166,0.000534037,0.000534037,0.000534037
27,5700.31,0.92001,1.29994,1.08815,0.308,0.71844,0.39073,0.24645,1.34572,1.51264,1.27569,0.000519039,0.000519039,0.000519039
28,5910.94,0.93865,1.27201,1.08127,0.28081,0.64357,0.38497,0.23798,1.41841,1.54949,1.30853,0.00050404,0.00050404,0.00050404
29,6119.62,0.91517,1.23661,1.07875,0.18517,0.60293,0.30547,0.19971,1.30632,1.73282,1.22374,0.000489042,0.000489042,0.000489042
30,6326.21,0.88662,1.19699,1.07049,0.26595,0.71786,0.42926,0.29107,1.2764,1.52865,1.20321,0.000474043,0.000474043,0.000474043
31,6537.03,0.89143,1.23318,1.05285,0.29633,0.65427,0.40508,0.26438,1.35885,1.51763,1.25534,0.000459045,0.000459045,0.000459045
32,6747.08,0.882,1.21722,1.05906,0.31643,0.51112,0.38428,0.26418,1.25102,1.48445,1.18382,0.000444046,0.000444046,0.000444046
33,6958.53,0.86457,1.13785,1.04276,0.24961,0.63387,0.40199,0.2566,1.36415,1.56555,1.24318,0.000429048,0.000429048,0.000429048
34,7170.33,0.86135,1.13173,1.04347,0.33579,0.5065,0.39167,0.2437,1.43813,1.62211,1.30391,0.000414049,0.000414049,0.000414049
35,7380.4,0.88965,1.13245,1.055,0.36636,0.54639,0.4561,0.3007,1.25806,1.61934,1.19276,0.000399051,0.000399051,0.000399051
36,7589.99,0.84851,1.09954,1.04575,0.32575,0.67829,0.48422,0.31359,1.40633,1.49855,1.28651,0.000384052,0.000384052,0.000384052
37,7798.37,0.83104,1.0895,1.03737,0.23218,0.67248,0.412,0.25644,1.44567,1.70324,1.29047,0.000369054,0.000369054,0.000369054
38,8011.42,0.82665,1.09351,1.03091,0.28902,0.47176,0.41483,0.27336,1.40988,1.69329,1.26624,0.000354055,0.000354055,0.000354055
39,8222.2,0.7888,1.04789,1.01049,0.21503,0.71208,0.40568,0.25891,1.34743,1.86901,1.25153,0.000339057,0.000339057,0.000339057
40,8431.36,0.80224,1.02766,1.03072,0.38982,0.49811,0.45831,0.30158,1.35169,1.51514,1.27561,0.000324058,0.000324058,0.000324058
41,8642.19,0.7999,1.04682,1.0274,0.32241,0.55677,0.42207,0.28307,1.32257,1.64566,1.24572,0.00030906,0.00030906,0.00030906
42,8851.03,0.79863,0.96228,1.02509,0.29401,0.61262,0.46285,0.29377,1.40688,1.66403,1.2636,0.000294061,0.000294061,0.000294061
43,9060.94,0.79126,1.00692,1.01716,0.41962,0.5006,0.49874,0.31487,1.46422,1.54195,1.32277,0.000279063,0.000279063,0.000279063
44,9269.97,0.77133,0.94294,1.00567,0.43184,0.56092,0.55045,0.35411,1.38467,1.51958,1.27593,0.000264064,0.000264064,0.000264064
45,9480.1,0.80498,0.92432,1.00497,0.38384,0.54329,0.48041,0.31087,1.36659,1.46757,1.29825,0.000249066,0.000249066,0.000249066
46,9688.64,0.77697,0.94652,1.01229,0.36612,0.49351,0.48424,0.31633,1.38373,1.63312,1.28646,0.000234068,0.000234068,0.000234068
47,9897.93,0.75004,0.91286,1.0046,0.31955,0.59177,0.47423,0.3181,1.32787,1.57772,1.26598,0.000219069,0.000219069,0.000219069
48,10110,0.74317,0.90048,0.99335,0.35585,0.5922,0.50608,0.34326,1.33913,1.50238,1.2774,0.00020407,0.00020407,0.00020407
49,10320.2,0.74966,0.8629,1.00648,0.30529,0.57281,0.44293,0.29117,1.38315,1.64483,1.27997,0.000189072,0.000189072,0.000189072
50,10530.4,0.70839,0.82569,0.98733,0.42173,0.36962,0.45579,0.29267,1.39028,1.59677,1.29376,0.000174074,0.000174074,0.000174074
51,10738.2,0.67343,0.7804,0.95418,0.47761,0.3737,0.46086,0.28875,1.38533,1.7309,1.32301,0.000159075,0.000159075,0.000159075
