epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.871,1.28645,3.09964,1.38337,0.34681,0.32105,0.31444,0.19767,1.24285,3.10958,1.24804,0.000365585,0.000365585,0.000365585
2,721.053,1.3086,2.49048,1.3379,0.53094,0.44415,0.41066,0.24127,1.3584,2.74459,1.31013,0.000723776,0.000723776,0.000723776
3,1066.25,1.29975,2.30039,1.31698,0.12302,0.39965,0.15492,0.08336,1.46554,3.28309,1.50985,0.00106975,0.00106975,0.00106975
4,1412.04,1.32063,2.09973,1.31948,0.26261,0.45684,0.27803,0.14152,1.4426,3.77112,1.42398,0.00105601,0.00105601,0.00105601
5,1757.13,1.31606,1.99451,1.29783,0.24379,0.48439,0.27936,0.16367,1.5127,2.92526,1.56177,0.00103767,0.00103767,0.00103767
6,2101.16,1.27518,1.84961,1.27671,0.5444,0.54789,0.57702,0.27044,1.60386,1.90237,1.48101,0.00101934,0.00101934,0.00101934
7,2444.12,1.26657,1.78803,1.27202,0.3168,0.51325,0.36792,0.21069,1.3989,2.16904,1.37431,0.00100101,0.00100101,0.00100101
8,2789.19,1.25794,1.68234,1.27528,0.51201,0.69006,0.62494,0.39911,1.32285,1.71207,1.2709,0.000982679,0.000982679,0.000982679
9,3138.27,1.22345,1.55924,1.22643,0.65247,0.41941,0.55479,0.33704,1.26896,1.96559,1.27185,0.000964348,0.000964348,0.000964348
10,3480.84,1.21095,1.53231,1.23655,0.55054,0.63475,0.5639,0.33556,1.30367,1.67124,1.24907,0.000946016,0.000946016,0.000946016
11,3824.29,1.23011,1.48089,1.23537,0.5895,0.53341,0.6232,0.39616,1.3085,1.7575,1.28207,0.000927685,0.000927685,0.000927685
12,4167.38,1.22903,1.42676,1.22825,0.62234,0.63799,0.66487,0.39768,1.33111,1.63949,1.28525,0.000909353,0.000909353,0.000909353
13,4513.13,1.21262,1.39187,1.22712,0.52309,0.70474,0.65145,0.40868,1.24884,1.62191,1.25281,0.000891022,0.000891022,0.000891022
14,4857.07,1.18902,1.3681,1.19712,0.63943,0.5699,0.73144,0.45869,1.26732,1.59201,1.21904,0.000872691,0.000872691,0.000872691
15,5199.34,1.21248,1.31453,1.19995,0.61664,0.57627,0.61455,0.37802,1.29047,1.88894,1.22947,0.000854359,0.000854359,0.000854359
16,5542.47,1.17989,1.27008,1.19084,0.62039,0.71273,0.724,0.44965,1.24255,1.69326,1.23498,0.000836027,0.000836027,0.000836027
17,5884.76,1.18571,1.28056,1.19998,0.73127,0.73986,0.77531,0.44318,1.34812,1.31634,1.29474,0.000817696,0.000817696,0.000817696
18,6227.59,1.1626,1.22598,1.202,0.62925,0.69734,0.73647,0.45261,1.31319,1.41638,1.27945,0.000799365,0.000799365,0.000799365
19,6574,1.14396,1.18187,1.18801,0.73185,0.66543,0.73924,0.45447,1.26286,1.33919,1.24696,0.000781033,0.000781033,0.000781033
20,6918.87,1.11676,1.19389,1.17862,0.72891,0.59963,0.71356,0.43408,1.32203,1.39151,1.3083,0.000762702,0.000762702,0.000762702
21,7263.75,1.14191,1.16947,1.17265,0.66267,0.64132,0.67124,0.40754,1.29514,1.47375,1.26362,0.00074437,0.00074437,0.00074437
22,7607.69,1.1313,1.13268,1.16862,0.61634,0.81384,0.78883,0.48088,1.29808,1.23786,1.25666,0.000726038,0.000726038,0.000726038
