epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.155,1.33826,2.55284,1.39473,0.61002,0.30299,0.53563,0.29057,1.38825,2.88261,1.31435,0.00053344,0.00053344,0.00053344
2,323.255,1.33087,1.89892,1.33837,0.68261,0.43974,0.57209,0.28791,1.49222,2.875,1.48554,0.00107282,0.00107282,0.00107282
3,480.94,1.4098,1.78446,1.39703,0.54637,0.53604,0.47439,0.22659,1.83756,2.95775,1.66615,0.00160131,0.00160131,0.00160131
4,634.752,1.37038,1.64277,1.35206,0.41712,0.3619,0.29914,0.13385,1.79071,3.92391,1.86099,0.00161749,0.00161749,0.00161749
5,791.122,1.32852,1.52359,1.33922,0.59705,0.57646,0.54639,0.28822,1.66127,2.3279,1.6777,0.00160099,0.00160099,0.00160099
6,944.887,1.33949,1.44422,1.31455,0.55024,0.74436,0.70239,0.37178,1.61823,1.99746,1.47727,0.00158448,0.00158448,0.00158448
7,1097.1,1.32605,1.33823,1.29113,0.68114,0.7219,0.74104,0.41898,1.50687,1.674,1.36028,0.00156798,0.00156798,0.00156798
8,1252.56,1.28538,1.2336,1.26961,0.60302,0.6519,0.63399,0.34024,1.51386,1.64527,1.38517,0.00155148,0.00155148,0.00155148
9,1405.05,1.28033,1.17893,1.26855,0.65788,0.77167,0.76522,0.43936,1.50128,1.51818,1.34263,0.00153497,0.00153497,0.00153497
10,1557.75,1.32955,1.19743,1.30572,0.72599,0.75065,0.80435,0.43975,1.50093,1.30421,1.33334,0.00151847,0.00151847,0.00151847
11,1713.77,1.31713,1.15746,1.30773,0.61892,0.70389,0.71764,0.34606,1.62448,1.69834,1.41321,0.00150197,0.00150197,0.00150197
12,1900.29,1.29504,1.09542,1.26377,0.79759,0.74601,0.83431,0.4129,1.67968,1.21971,1.44843,0.00148546,0.00148546,0.00148546
13,2075.77,1.26898,1.08646,1.26261,0.55393,0.68417,0.6254,0.34498,1.51469,1.46201,1.36387,0.00146896,0.00146896,0.00146896
14,2275.23,1.25009,1.01864,1.2401,0.82928,0.79392,0.87858,0.50976,1.45429,1.07304,1.32018,0.00145246,0.00145246,0.00145246
15,2465.3,1.24566,0.98702,1.23924,0.74663,0.8139,0.81528,0.48815,1.36284,1.17479,1.26394,0.00143595,0.00143595,0.00143595
16,2653.96,1.22019,0.97463,1.23439,0.76593,0.82162,0.84704,0.50451,1.39186,1.09543,1.28632,0.00141945,0.00141945,0.00141945
17,2829.1,1.21139,0.9401,1.21871,0.66283,0.79851,0.77258,0.45201,1.42598,1.37862,1.28155,0.00140295,0.00140295,0.00140295
18,3003.28,1.20269,0.95911,1.22262,0.74844,0.75123,0.79018,0.45334,1.53352,1.26513,1.35636,0.00138644,0.00138644,0.00138644
19,3165.33,1.21194,0.97369,1.20736,0.83858,0.86488,0.90081,0.50837,1.49321,0.93322,1.33585,0.00136994,0.00136994,0.00136994
20,3354.29,1.21722,0.90392,1.20476,0.86772,0.8159,0.88055,0.50215,1.47846,0.93266,1.3224,0.00135344,0.00135344,0.00135344
21,3536.41,1.20182,0.87733,1.19134,0.81676,0.79865,0.87175,0.49509,1.49711,1.00293,1.3223,0.00133693,0.00133693,0.00133693
22,3709.32,1.25316,0.89101,1.24489,0.80675,0.77112,0.88922,0.51963,1.42791,0.96745,1.27203,0.00132043,0.00132043,0.00132043
23,3885.67,1.16472,0.86608,1.19443,0.85696,0.80768,0.8981,0.52376,1.40948,0.84082,1.27418,0.00130393,0.00130393,0.00130393
24,4071.84,1.19804,0.87082,1.21083,0.79724,0.88581,0.91183,0.53202,1.40568,0.83933,1.27228,0.00128742,0.00128742,0.00128742
25,4263.54,1.15767,0.82274,1.19891,0.8264,0.80119,0.88671,0.52524,1.43232,0.88929,1.26326,0.00127092,0.00127092,0.00127092
26,4454.1,1.16079,0.80097,1.18047,0.877,0.84208,0.91543,0.5601,1.34574,0.80408,1.22249,0.00125442,0.00125442,0.00125442
27,4624.46,1.17736,0.79654,1.1806,0.84282,0.83682,0.9063,0.57097,1.31755,0.80887,1.21922,0.00123791,0.00123791,0.00123791
28,4778.15,1.1503,0.80527,1.18111,0.87337,0.8118,0.87031,0.52093,1.36238,0.84492,1.24966,0.00122141,0.00122141,0.00122141
29,4935.65,1.14623,0.77234,1.16954,0.87858,0.85354,0.90717,0.5449,1.33501,0.8004,1.23134,0.00120491,0.00120491,0.00120491
30,5091.33,1.14184,0.77156,1.18932,0.77577,0.84078,0.84419,0.50727,1.38216,0.95657,1.26126,0.0011884,0.0011884,0.0011884
31,5263.08,1.15251,0.74945,1.191,0.74113,0.78964,0.78632,0.44595,1.37217,1.0478,1.27671,0.0011719,0.0011719,0.0011719
32,5434.38,1.12225,0.72526,1.15877,0.89017,0.88568,0.91799,0.56378,1.31857,0.75158,1.24543,0.0011554,0.0011554,0.0011554
33,5595.11,1.08347,0.70248,1.13811,0.83774,0.8241,0.87327,0.53928,1.33814,0.82101,1.24976,0.00113889,0.00113889,0.00113889
34,5750.24,1.09576,0.7151,1.16119,0.78975,0.86908,0.8706,0.51246,1.40422,0.81742,1.26749,0.00112239,0.00112239,0.00112239
35,5909.17,1.07319,0.67304,1.13476,0.78784,0.84605,0.8955,0.53294,1.37747,0.84789,1.25429,0.00110589,0.00110589,0.00110589
36,6063.21,1.05698,0.67214,1.13358,0.8549,0.8296,0.88889,0.50383,1.48544,0.81627,1.33861,0.00108938,0.00108938,0.00108938
37,6217.63,1.10783,0.70059,1.1535,0.85065,0.89108,0.8923,0.46698,1.5361,0.79974,1.37331,0.00107288,0.00107288,0.00107288
38,6374.62,1.05945,0.6827,1.1374,0.80481,0.78844,0.87715,0.50842,1.43489,0.89455,1.28175,0.00105638,0.00105638,0.00105638
39,6531.35,1.06824,0.67551,1.13778,0.78498,0.79542,0.85597,0.50875,1.37307,0.94323,1.23973,0.00103987,0.00103987,0.00103987
40,6687.73,1.07106,0.67018,1.1301,0.69533,0.83293,0.82973,0.48091,1.42187,1.13066,1.28823,0.00102337,0.00102337,0.00102337
41,6841.84,1.04923,0.65476,1.12508,0.88009,0.85408,0.92982,0.55702,1.37202,0.73197,1.25807,0.00100687,0.00100687,0.00100687
42,6997.94,1.04242,0.64964,1.13668,0.84265,0.84689,0.8808,0.54372,1.33148,0.74906,1.23871,0.000990365,0.000990365,0.000990365
43,7153.55,1.04477,0.67924,1.15187,0.85245,0.82745,0.90111,0.51698,1.44303,0.78529,1.31844,0.000973861,0.000973861,0.000973861
44,7308.09,1.02288,0.663,1.11997,0.87339,0.88029,0.9302,0.56724,1.3468,0.7269,1.22514,0.000957358,0.000957358,0.000957358
45,7465.83,1.0612,0.66906,1.14825,0.82734,0.85122,0.90681,0.56034,1.31259,0.80212,1.21755,0.000940855,0.000940855,0.000940855
46,7620.68,1.04361,0.65828,1.11862,0.84933,0.88287,0.92923,0.54481,1.42243,0.7455,1.2982,0.000924352,0.000924352,0.000924352
47,7777.34,1.02491,0.62928,1.12057,0.86378,0.84663,0.91753,0.54708,1.37097,0.82329,1.2746,0.000907848,0.000907848,0.000907848
48,7932.32,1.00988,0.62329,1.1063,0.86003,0.90034,0.93323,0.5742,1.33619,0.71308,1.24874,0.000891345,0.000891345,0.000891345
49,8092.3,1.01054,0.59676,1.11714,0.86233,0.89117,0.93335,0.56842,1.35366,0.70192,1.26945,0.000874842,0.000874842,0.000874842
50,8246.38,1.00592,0.61011,1.11742,0.86225,0.80461,0.92365,0.55777,1.36638,0.7772,1.2441,0.000858338,0.000858338,0.000858338
51,8400.01,0.97456,0.58126,1.10224,0.89064,0.921,0.93926,0.57268,1.36135,0.66507,1.26894,0.000841835,0.000841835,0.000841835
52,8557.43,0.97762,0.58371,1.09676,0.91886,0.90252,0.95242,0.58124,1.33917,0.66333,1.25135,0.000825332,0.000825332,0.000825332
53,8711.35,0.98882,0.59992,1.10583,0.84859,0.84125,0.91823,0.55462,1.36109,0.76546,1.27801,0.000808828,0.000808828,0.000808828
54,8868.19,0.9844,0.59767,1.1064,0.85105,0.91853,0.93845,0.57542,1.37616,0.68821,1.27827,0.000792325,0.000792325,0.000792325
55,9022.17,0.98086,0.57346,1.09252,0.83551,0.85712,0.90297,0.5371,1.35806,0.74373,1.26262,0.000775822,0.000775822,0.000775822
56,9203.55,0.95352,0.57121,1.08613,0.86364,0.89622,0.92487,0.52755,1.4361,0.71305,1.30987,0.000759318,0.000759318,0.000759318
57,9481.5,0.94492,0.57256,1.08977,0.78752,0.85289,0.88431,0.51395,1.45652,0.87498,1.29548,0.000742815,0.000742815,0.000742815
58,9712.61,0.92111,0.56113,1.06211,0.78966,0.89033,0.90228,0.54862,1.38133,0.78764,1.26011,0.000726312,0.000726312,0.000726312
59,9970.1,0.94856,0.58302,1.09394,0.84937,0.88987,0.91711,0.53843,1.44167,0.69537,1.30347,0.000709809,0.000709809,0.000709809
60,10208.8,0.92448,0.55674,1.07381,0.78233,0.90594,0.91863,0.54724,1.41034,0.76177,1.2767,0.000693305,0.000693305,0.000693305
61,10443.2,0.89263,0.5538,1.06767,0.84691,0.84722,0.91204,0.55819,1.38597,0.71836,1.27359,0.000676802,0.000676802,0.000676802
62,10679.6,0.91914,0.53815,1.07462,0.90054,0.90321,0.9432,0.55913,1.38323,0.63381,1.26133,0.000660299,0.000660299,0.000660299
63,10912.7,0.93002,0.54419,1.07463,0.79961,0.9323,0.93001,0.57639,1.35937,0.70773,1.25114,0.000643795,0.000643795,0.000643795
64,11145.2,0.90499,0.52097,1.06234,0.86805,0.85683,0.92074,0.55215,1.37554,0.68689,1.26754,0.000627292,0.000627292,0.000627292
65,11384.3,0.89124,0.52319,1.06003,0.87115,0.88735,0.93486,0.56815,1.3663,0.6789,1.25577,0.000610789,0.000610789,0.000610789
